branch,1G,1K,1R,2AG,2AK,2AR,2BG,2BK,2BR,3AG,3AK,3AR,3BG,3BK,3BR,GM,GMK,GMR,SCG,SCK,SCR,STG,STK,STR,college_code,college_name,round
AI Artificial Intelligence,7439,,,6734,,7779,7875,,,4084,,,4605,,,3907,8135,5262,16354,35775,35396,17206,,18801,E001,University of Visvesvaraya College of Engineering Bangalore,Mock1
CE Civil,68898,,,69666,69941,72287,74333,,106460,61284,,72697,66004,,69405,45002,53695,64028,79824,98999,85768,81469,82070,123085,E001,University of Visvesvaraya College of Engineering Bangalore,Mock1
CS Computers,5690,,8190,5561,7429,6464,7208,,10336,3462,,4593,3825,7474,4376,3211,7414,4335,12522,21924,18300,17443,,17805,E001,University of Visvesvaraya College of Engineering Bangalore,Mock1
EC Electronics,9983,,11714,9995,16068,12339,11081,,31185,7594,19963,,6724,,11437,6157,11976,9636,29933,31957,35459,33332,,33883,E001,University of Visvesvaraya College of Engineering Bangalore,Mock1
EE Electrical,23455,38399,27371,23258,26419,26752,33101,,,20957,,,17818,,21279,14958,25264,20432,57941,69479,63753,43095,,54873,E001,University of Visvesvaraya College of Engineering Bangalore,Mock1
IE Info.Science,7386,,,6831,,7255,11745,25997,,4483,,6192,4926,,,4224,7969,5378,26413,,31532,23558,,30720,E001,University of Visvesvaraya College of Engineering Bangalore,Mock1
ME Mechanical,62826,,84940,73927,74639,78235,75759,,77912,49937,,64283,54690,59602,62654,41170,51745,59489,98260,123898,124646,92113,101112,117800,E001,University of Visvesvaraya College of Engineering Bangalore,Mock1
CE Civil,98381,,,92163,93663,97599,101369,,,84557,,,91027,,97068,81166,91373,89157,102539,118675,106094,124285,,128598,E002,S K S J T Institute of Engineering.  Bangalore,Mock1
CS Computers,14283,,17116,14205,,14602,12953,,41540,13226,,18543,11670,16632,,10248,15038,12099,26472,,36758,28286,,,E002,S K S J T Institute of Engineering.  Bangalore,Mock1
EC Electronics,31182,,,29840,,35187,37710,,,24388,,,25641,,29398,23483,24442,27495,55527,,58081,61863,65383,69964,E002,S K S J T Institute of Engineering.  Bangalore,Mock1
ST Silk Tech.,154144,,,121867,,139633,,,,,,,136664,,,112624,135932,117971,143808,,,133093,,,E002,S K S J T Institute of Engineering.  Bangalore,Mock1
TX Textiles,150513,,231397,163489,188573,171474,147320,,,135887,,,161867,,,134552,155328,162260,189964,233310,198936,194798,,,E002,S K S J T Institute of Engineering.  Bangalore,Mock1
CE Civil,53895,,,40481,,47288,73226,,,36824,,,37691,,53382,32553,45050,43081,65667,,80462,61968,113639,68114,E003,"B M S College of Engineering  Basavanagudi,Bangalore",Mock1
EC Electronics,3129,,9998,5099,,6916,6731,,,2260,,,2944,9238,,2025,3761,6088,22053,,35225,22676,,37639,E003,"B M S College of Engineering  Basavanagudi,Bangalore",Mock1
